Mês,Brasil
01/08/15,93.3003
01/09/15,90.14944
01/10/15,97.50144
01/11/15,96.53867
01/12/15,122.27065
01/01/16,90.23697
01/02/16,85.16059
01/03/16,91.4623
01/04/16,86.82354
01/05/16,88.1364
01/06/16,86.73602
01/07/16,88.22392
01/08/16,88.1364
01/09/16,84.98554
01/10/16,89.6243
01/11/16,92.86268
01/12/16,116.31904
01/01/17,89.14016
01/02/17,82.01325
01/03/17,88.51857
01/04/17,88.30573
01/05/17,90.42847
01/06/17,89.23752
01/07/17,90.94292
01/08/17,91.27847
01/09/17,90.28732
01/10/17,91.94171
01/11/17,98.43241
01/12/17,120.9274
01/01/18,91.95579
01/02/18,83.25285
01/03/18,95.63502
01/04/18,88.94832
01/05/18,92.90176
01/06/18,90.65535
01/07/18,90.06749
01/08/18,94.99743
01/09/18,90.44022
01/10/18,93.73739
01/11/18,102.87858
01/12/18,121.74368
01/01/19,93.68782
01/02/19,86.56867
01/03/19,91.38843
01/04/19,90.53404
01/05/19,93.82238
01/06/19,90.76676
01/07/19,93.90554
01/08/19,96.31029
01/09/19,92.44497
01/10/19,97.72331
01/11/19,106.07645
01/12/19,124.92782
01/01/20,95.01804
01/02/20,90.61413
01/03/20,90.34239
01/04/20,75.01668
01/05/20,86.8962
01/06/20,91.20908
01/07/20,99.06405
01/08/20,102.25301
01/09/20,99.17828
01/10/20,105.8898
01/11/20,109.85013
01/12/20,126.51201
01/01/21,94.63845
01/02/21,87.09135
01/03/21,92.35696
01/04/21,92.81474
01/05/21,100.74772
01/06/21,96.99321
01/07/21,104.75813
01/08/21,98.09983
01/09/21,94.04461
01/10/21,98.65443
01/11/21,105.23216
01/12/21,122.78603
01/01/22,93.22962
01/02/22,88.20452
01/03/22,96.92398
01/04/22,96.98576
01/05/22,100.59259
01/06/22,96.86423
01/07/22,99.1827
01/08/22,99.6294
01/09/22,97.0433
01/10/22,101.35957
01/11/22,106.66694
01/12/22,123.31739
01/01/23,95.76611
01/02/23,89.14835
01/03/23,100.14438
01/04/23,97.44855
01/05/23,99.50874
01/06/23,98.21743
01/07/23,101.57403
